property_id,micro_market,sector,latitude,longitude,distance_to_center_km,rooms,floor_area_m2,quality_score,building_age_years,amenity_density,local_tax_rate,income_zone_rating,transit_proximity_score,green_space_ratio,crime_index,school_rating,noise_level_db,energy_label,parking_available,has_balcony,last_renovation_year,valuation_eur
PROP-00001,North,Social Rental,52.407772,4.937415,6.3,2,78.1,0.156,1,0.5114,0.003359,3,0.1656,0.3301,0.239,1.6,43.8,2,1,1,2024,195700.0
PROP-00002,South,Home Ownership,52.333253,4.926071,5.34,2,49.8,0.6075,5,0.732,0.004484,4,0.2687,0.1468,0.1556,5.4,55.6,3,1,0,2022,551800.0
PROP-00003,West,Home Ownership,52.389324,4.853292,5.1,2,56.0,0.196,1,0.4817,0.003584,3,0.4679,0.3515,0.0,5.7,52.1,1,0,0,2024,321600.0
PROP-00004,South,Social Rental,52.351175,4.852853,5.12,2,71.9,0.311,11,0.8468,0.004289,3,0.352,0.4459,0.2705,8.5,58.0,3,1,1,2013,286800.0
PROP-00005,East,Social Rental,52.366101,4.904224,1.11,5,148.8,0.2493,15,0.6099,0.004275,3,0.8081,0.377,0.2016,7.0,41.6,3,1,0,2024,336800.0
PROP-00006,East,Private Rental,52.361068,4.932881,4.32,3,84.3,0.9715,11,0.5746,0.004421,3,0.2926,0.1391,0.0709,5.7,50.2,3,1,1,2024,530200.0
PROP-00007,East,Social Rental,52.378714,4.953535,6.57,2,66.6,0.7282,13,0.8252,0.003703,3,0.1888,0.2245,0.0039,5.6,49.6,4,1,0,2012,295200.0
PROP-00008,North,Social Rental,52.405683,4.903579,4.07,4,114.4,0.8172,24,0.424,0.003438,2,0.6099,0.5949,0.1059,5.4,62.9,2,1,0,2009,298300.0
PROP-00009,West,Social Rental,52.397389,4.848529,5.99,4,101.1,0.2243,37,0.5343,0.004089,3,0.3338,0.5845,0.1656,4.1,49.9,7,1,0,1996,266800.0
PROP-00010,East,Social Rental,52.35521,4.914685,2.73,4,118.0,0.2808,1,0.6401,0.004222,3,0.7361,0.4568,0.1489,4.1,46.4,2,0,0,2024,307600.0
PROP-00011,North,Private Rental,52.400699,4.889427,3.46,5,142.3,0.8704,35,0.375,0.003655,3,0.6186,0.9779,0.2785,6.2,59.6,7,1,1,1989,504600.0
PROP-00012,East,Social Rental,52.372817,4.907807,1.46,3,100.3,0.0305,1,0.5786,0.0039,4,0.8309,0.3824,0.0375,9.1,62.7,2,0,0,2024,253200.0
PROP-00013,South,Home Ownership,52.33049,4.877935,4.78,2,59.5,0.9626,54,0.7532,0.004058,3,0.5794,0.3607,0.0237,7.6,71.5,5,1,1,1984,569200.0
PROP-00014,Center,Social Rental,52.367151,4.928696,3.75,2,40.9,0.4916,19,0.816,0.004963,5,0.518,0.2302,0.167,10.0,55.7,2,1,0,2005,342200.0
PROP-00015,East,Home Ownership,52.375917,4.968548,8.19,4,97.4,0.5456,85,0.6725,0.003813,3,0.0,0.2116,0.292,6.0,55.8,6,0,0,1955,371600.0
PROP-00016,North,Home Ownership,52.393278,4.877822,3.21,5,154.0,0.3408,80,0.5742,0.003368,2,0.6248,0.4018,0.3217,3.7,59.0,7,1,1,1967,522600.0
PROP-00017,East,Home Ownership,52.357643,4.925272,3.63,3,106.1,0.3287,33,0.6999,0.004189,3,0.4566,0.3114,0.1087,7.0,51.1,5,1,1,2005,377100.0
PROP-00018,Center,Home Ownership,52.372924,4.905064,1.16,2,60.8,0.0848,120,1.0,0.004357,4,0.9906,0.0,0.3484,6.5,47.3,5,1,1,1905,372600.0
PROP-00019,South,Home Ownership,52.34925,4.892423,2.32,3,102.7,0.9632,1,0.7979,0.004204,4,0.6326,0.3037,0.2348,8.4,57.3,1,0,1,2024,914300.0
PROP-00020,East,Social Rental,52.3553,4.958587,7.24,2,56.5,0.9744,120,0.497,0.004109,4,0.1915,0.4113,0.3672,6.6,58.4,7,1,1,1908,261800.0
PROP-00021,South,Home Ownership,52.319442,4.90437,5.71,5,124.8,0.8421,54,0.732,0.004202,4,0.2416,0.3934,0.0469,6.0,57.4,4,0,1,1974,912600.0
PROP-00022,East,Private Rental,52.366378,4.967923,8.1,5,156.3,0.776,24,0.6285,0.004447,4,0.0,0.2487,0.0,7.7,68.3,3,1,0,2005,626700.0
PROP-00023,North,Home Ownership,52.398355,4.879339,3.6,4,100.1,0.98,20,0.3456,0.003701,3,0.4566,0.3229,0.0829,4.4,59.8,4,1,1,2004,644800.0
PROP-00024,Center,Social Rental,52.360486,4.869186,3.05,3,64.7,0.5034,35,0.9612,0.004861,5,0.5562,0.1895,0.2295,6.2,41.3,5,0,1,1995,376900.0
